artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop
Spoon,They Want My Soul,New York Kiss,67F4DCkqJncqUajy0ixDtb,0.628,0.969,6,-2.867,0,0.0388,5.86e-05,0.217,0.534,132.002,206827,4,0K1q0nXQ8is36PzOKAMbNe,40.0,64.0
Portugal. The Man,The Satanic Satanist,People Say,0WTq8iUzSlGDAbowEdRKKD,0.543,0.768,0,-5.914,1,0.0288,6.72e-06,0.779,0.681,79.965,179360,4,4kI8Ie27vjvonwaB2ePh8T,59.0,70.0
Tessa Violet,YES MOM,YES MOM,3imd2WJDPDoIOyqDmw3plc,0.78,0.672,8,-4.398,1,0.0328,7.27e-05,0.125,0.541,97.054,162360,4,5DD5GZd4ElmQTy9NleMvKJ,74.0,64.0
Mystery Jets,Curve Of The Earth,Saturnine,5GGP2S487OmXSQ8Vp2sJHb,0.464,0.561,11,-5.808,1,0.0272,0.000507,0.152,0.307,115.047,381107,4,09K1H1DgyIXHsMx2j7KTFX,52.0,51.0
Unknown Mortal Orchestra,II,Swim and Sleep (Like a Shark),1UcgqK04vVmW8aXV2OxGiZ,0.766,0.806,8,-10.011,1,0.0403,0.171,0.119,0.76,123.51,165227,4,1LeVJ5GPeYDOVUjxx1y7Rp,62.0,67.0
Parsley Sound,Parsley Sounds,Twilight Mushrooms,5pVj2dABvA4WNxNQsSyQfP,0.505,0.521,0,-11.216,1,0.0295,0.361,0.22,0.318,90.336,349667,4,7MflKjtS3O6ygAaOxlFLGJ,37.0,31.0
The Orielles,Silver Dollar Moment,Sunflower Seeds,0SSoQF9K7X645Zhvk41cW3,0.34,0.672,9,-7.182,1,0.0459,0.0499,0.814,0.59,118.498,304093,4,5JWEBEt8VxHHxYKFmpzjwD,47.0,38.0
Still Woozy,Pool,Pool,1ZP4Qxb7USL3EezbxfpOVF,0.664,0.477,0,-10.53,1,0.0551,4.15e-05,0.136,0.273,100.046,223000,4,4iMO20EPodreIaEl8qW66y,72.0,74.0
COIN,Chapstick,Chapstick,2c0NslS6dfGp1LT1iXbqyS,0.806,0.636,2,-6.281,1,0.042,0.00053,0.109,0.783,115.03,193299,4,0ZxZlO7oWCSYMXhehpyMvE,66.0,72.0
STRFKR,Miracle Mile,Kahlil Gibran,0PldjOTKRt45S9MrLnlwVM,0.676,0.641,9,-7.923,1,0.0296,0.262,0.119,0.352,84.97,241413,4,2Tz1DTzVJ5Gyh8ZwVr6ekU,62.0,63.0
Do Nothing,Handshakes,Handshakes,25lJGQuHWeFhYt7ffpF2xz,0.574,0.567,7,-10.513,1,0.0331,0.00543,0.0748,0.458,90.62,210251,4,73N7cGNNww6Uod1d3IiBKP,55.0,43.0
Parquet Courts,Wide Awake!,Tenderness,5S6spUAa7hNeJCP48786fm,0.717,0.72,7,-4.269,1,0.0364,0.000216,0.0774,0.951,97.958,186107,4,23NIwARd4vPbxt3wwNnJ6k,58.0,58.0
Spoon,Wild EP,Wild,5Gzn78ypGH9p9HLFPWnd6g,0.647,0.701,4,-8.043,1,0.0375,0.000142,0.0765,0.813,97.003,193277,4,0K1q0nXQ8is36PzOKAMbNe,43.0,64.0
Frog,Kind of Blah,Judy Garland,3df6rRK1s42yvZ38VxqBqE,0.385,0.725,6,-7.501,1,0.104,0.00459,0.12,0.104,129.777,217177,4,3ME5MgDqwM6G3UDLmwjftA,46.0,36.0
Fell Runner,Talking,Dog Inside a Car,2CAhV5ZuA7v309SspF5K5S,0.478,0.696,11,-6.144,1,0.0634,0,0.0748,0.63,130.224,256000,4,0teb8J1T7OwcAQlBxRnPVd,49.0,33.0
Mini Mansions,The Great Pretenders,Creeps,1Li4Kez6rKh0fuslQd3yks,0.456,0.513,7,-8.122,1,0.0274,0.0771,0.251,0.572,111.946,211187,4,07xbJ7SM1JopFtI1qXvSww,43.0,45.0
TOLEDO,FOMO,FOMO,4bRjFZH5jCrPASyxqbF1yr,0.663,0.845,10,-5.449,1,0.119,3.76e-05,0.184,0.656,117.664,219381,4,2xK3hBpuuHSxmHr96TzgDO,41.0,48.0
NewDad,Waves,I Don't Recognise You,2W94sTwflT0Fg2tQc0vlfG,0.534,0.623,11,-7.144,1,0.0247,0.379,0.121,0.395,82.487,275013,4,1yz8XixOiIJJ9IxjbnfYV6,54.0,47.0
Good Future,Socials,Socials,2lhhlRWIVewExNiNtSwPz3,0.816,0.744,8,-6.357,1,0.0281,0.000476,0.223,0.937,118.041,217881,4,6Ht13tuJr6I8afHrtA4RD3,40.0,26.0
Together Pangea,Sleeping Til Sunset (Acoustic Versions),Friend of Nothing - Acoustic,5qQO3UMrI4LAPaRVbBSHWa,0.607,0.828,4,-6.976,1,0.0399,0.00193,0.0809,0.787,173.097,221557,4,29q1axQPERERxUzqufXMqB,50.0,50.0
Spoon,Ga Ga Ga Ga Ga (2017 Remaster),Finer Feelings,24qL9ML9vQJUeYFbHpW0DM,0.652,0.846,0,-7.376,1,0.0521,5.77e-06,0.357,0.682,129.263,295933,4,0K1q0nXQ8is36PzOKAMbNe,36.0,64.0
COIN,Green Blue + Indigo Violet,Sagittarius Superstar (feat. Faye Webster),5MKRJvmmJTzC0xdXIiVsAd,0.552,0.653,5,-8.632,1,0.0523,0.00124,0.247,0.647,119.672,173320,4,0ZxZlO7oWCSYMXhehpyMvE,55.0,72.0
Wet Leg,Wet Dream,Wet Dream,6pjJUY0O4XgrYFGf9SwD7u,0.721,0.697,2,-5.891,1,0.0284,0.0106,0.212,0.898,130.051,140084,3,2TwOrUcYnAlIiKmVQkkoSZ,68.0,66.0
LCD Soundsystem,Electric Lady Sessions,oh baby - electric lady sessions,3ipt678zwPkLgPpyTnSEeK,0.525,0.777,5,-10.018,1,0.0507,0.244,0.0624,0.258,169.991,370253,4,066X20Nz7iquqkkCW6Jxy6,41.0,64.0
The Velveteins,Slow Wave,Midnight Surf,1cHWcR8wg93s6BkQMbWAMY,0.155,0.862,0,-5.317,1,0.0683,0.000614,0.263,0.219,77.239,271547,4,1jUEqf1F3oW4JGoMfYxCvN,45.0,39.0
Har Mar Superstar,Bye Bye 17,Late Night Morning Light,36Jk4Gov47YOevltFX97sD,0.648,0.74,7,-6.107,1,0.0366,0.0707,0.587,0.813,105.117,125962,4,5wjWLK4KMqmRbdUtTEV1BG,46.0,39.0
Rubblebucket,Triangular Daisies EP,Came Out of a Lady,67zyq8IksPvk60j5MeeuUV,0.814,0.732,11,-6.615,1,0.0525,0.0379,0.0809,0.612,119.972,260192,3,6xriZDSK3wPXhOoZXr9fzF,43.0,46.0
Spoon,Lucifer On The Sofa,The Hardest Cut,4ZifmvedzdccUUuiGDAbTU,0.671,0.683,7,-5.271,1,0.0965,0.00107,0.0534,0.809,164.943,193369,4,0K1q0nXQ8is36PzOKAMbNe,57.0,64.0
Post Animal,Puppy Dog,Puppy Dog,6d73p4S5nsFPWaAyfOluEa,0.46,0.675,0,-8.178,0,0.0389,0.0348,0.105,0.374,144.907,280190,4,4iaDWP59Z3e62DW7YWDbIE,44.0,47.0
Yabadum,Careful Kid,Cosmos,5E6t3T6Mh8V9LmcMKYEx4E,0.603,0.789,10,-5.601,1,0.08,1.22e-05,0.0904,0.748,115.973,231653,4,61b7Q2JnuxCcc3REqayakO,42.0,39.0
Parquet Courts,Sympathy for Life,Walking at a Downtown Pace,69Rdwj1IFqopDXVah0BdEJ,0.531,0.843,11,-5.148,0,0.0443,0.000446,0.3,0.809,110.002,286880,4,23NIwARd4vPbxt3wwNnJ6k,52.0,58.0
Tokyo Police Club,Top 5,Top 5,6F2LjP4Del2MOK9trQR9Jj,0.626,0.702,4,-7.288,1,0.0286,1.79e-05,0.438,0.761,105.994,182940,4,3wyfo3svXNWnszGAEVey11,37.0,49.0
MGMT,Congratulations,Congratulations,6kblAEj0T0312fv5QWsXzo,0.761,0.637,7,-8.169,1,0.0268,0.0082,0.102,0.656,125.115,235387,4,0SwO7SWeDHJijQ3XNS7xEE,61.0,79.0
Broken Social Scene,Let's Try The After (Vol. 1),1972,265nlNqx9HgtYSkX0uft7Z,0.503,0.482,9,-8.983,1,0.0259,0.124,0.0656,0.317,97.6,293707,4,7lOJ7WXyopaxri0dbOiZkd,43.0,57.0
Spoon,They Want My Soul,Inside Out,7qCZgvV98j6RjUULW1s1it,0.621,0.62,0,-4.721,1,0.0293,0.162,0.0771,0.515,176.016,301960,4,0K1q0nXQ8is36PzOKAMbNe,63.0,64.0
Born Ruffians,"Red, Yellow & Blue",Foxes Mate For Life,2R0y7UJEqS7ltOC2LZAGKj,0.621,0.568,7,-5.797,1,0.0449,0.0301,0.0641,0.557,110.175,270120,5,7wGrLSB3v7jkV3fSsjYwtv,45.0,49.0
Halloweens,Morning Kiss at the Acropolis,My Baby Looks Good with Another,01Q1SatAIX2xZH9UfgvoWO,0.651,0.838,11,-6.354,0,0.0404,1.48e-06,0.58,0.924,129.243,255119,4,4l7GRt2JOR419eiFMA4uzu,43.0,32.0
Peach Pit,From 2 to 3,Vickie,2Q18HgXzNB1jB85EuXFgNn,0.697,0.464,0,-6.019,1,0.0259,4.51e-06,0.139,0.667,89.293,223944,4,6fC2AcsQtd9h4BWELbbire,60.0,71.0
Portugal. The Man,The Satanic Satanist,Mornings,3ia0GolmeFhy2DTel6EV8T,0.443,0.533,11,-5.605,0,0.0258,2.36e-05,0.168,0.157,149.682,279080,3,4kI8Ie27vjvonwaB2ePh8T,46.0,70.0
Ethan P. Flynn,Television Show (Live),Television Show - Live,4WGj0mxVYdLBCpZ40t0TX9,0.27,0.67,8,-5.8,1,0.0401,0.000136,0.157,0.232,100.804,321855,4,1c0MTVrGbnets3DTXAEa0z,35.0,33.0
Don't Stop or We'll Die,Dazzle Me,Lily Pad on Your Doorstep,3V8usEmpo2Adc6jSYNkdY5,0.748,0.309,1,-9.253,0,0.0637,0.000842,0.615,0.247,172.218,183360,4,3gc8ddHIjroKBbooNKDcP6,39.0,34.0
Dan Croll,On Top,On Top,1pcSKI4na3DjV2aWwzJXHK,0.677,0.455,9,-8.856,1,0.0888,0.0583,0.111,0.523,154.214,208391,4,5Rr15NSbi1Xjno1AEP9u21,44.0,49.0
The Strokes,The New Abnormal,The Adults Are Talking,5ruzrDWcT0vuJIOMW7gMnW,0.593,0.749,5,-5.67,1,0.0475,0.106,0.314,0.649,164.959,309053,4,0epOFNiUfyON9EYx7Tpr6V,81.0,80.0
The Walkmen,Everyone Who Pretended To Like Me Is Gone,We've Been Had,1K5wIDgNBgT7lVOMibiRAE,0.434,0.581,4,-7.449,1,0.0313,0.0002,0.338,0.447,100.219,204347,4,6kFay2DQ5aZfeu5OsrF3Pw,45.0,50.0
Peach Pit,From 2 to 3,Look Out!,72BIYdOmoytW14M7BQYyZu,0.462,0.394,10,-8.402,1,0.0271,5.5e-06,0.134,0.286,100.692,176506,4,6fC2AcsQtd9h4BWELbbire,59.0,71.0
Cage The Elephant,Melophobia,Telescope,0tkBOcK7oRVXQJY97zzSvr,0.589,0.481,0,-4.801,1,0.0285,1.33e-05,0.0986,0.176,93.568,228293,4,26T3LtbuGT1Fu9m0eRq5X3,68.0,79.0
Jealous of the Birds,Peninsula,Something Holy,2YAp3Kb8Xb6iVMk8Zp8jAH,0.678,0.691,2,-5.187,1,0.0281,0,0.334,0.843,120.066,198160,4,3S8P24WjZtVNaPLeXjaCJm,39.0,44.0
Portugal. The Man,"What, Me Worry?","What, Me Worry?",0ePX6rVjeql7Bt1KurTbAG,0.722,0.889,3,-2.564,0,0.0416,4.77e-06,0.124,0.743,139.965,177397,4,4kI8Ie27vjvonwaB2ePh8T,69.0,70.0
Public Access T.V.,Public Access,All We Want,1sv1NjtrXX3N4VXBAsljeZ,0.617,0.83,2,-4.382,1,0.0427,0.000426,0.19,0.629,101.986,234840,4,2GfytjuWiJoRLsYZlF6saQ,31.0,24.0
The Flaming Lips,Yoshimi Battles the Pink Robots,Do You Realize??,2DFRFqWNahKtFD112H2iEZ,0.464,0.797,0,-5.244,1,0.0333,0.000304,0.392,0.547,129.964,213173,4,16eRpMNXSQ15wuJoeqguaB,64.0,60.0
