playlist_date,alternative rock,album rock,baroque pop,alternative dance,indie pop,indie rock,modern alternative rock,classic rock,indie folk,dance pop,song_count
2016-04-01,0.043478260869565216,0.30434782608695654,0.043478260869565216,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.0,23
2016-07-01,0.013157894736842105,0.27631578947368424,0.013157894736842105,0.0,0.0,0.0,0.0,0.17105263157894737,0.013157894736842105,0.013157894736842105,76
2017-04-01,0.0,0.3541666666666667,0.020833333333333332,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.020833333333333332,48
2017-07-01,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2017-09-01,0.0,0.022222222222222223,0.0,0.0,0.022222222222222223,0.0,0.044444444444444446,0.022222222222222223,0.13333333333333333,0.2222222222222222,45
2017-11-01,0.0,0.0,0.3723404255319149,0.3723404255319149,0.010638297872340425,0.0,0.02127659574468085,0.010638297872340425,0.0,0.10638297872340426,94
2018-01-01,0.09302325581395349,0.0,0.023255813953488372,0.06976744186046512,0.0,0.11627906976744186,0.046511627906976744,0.0,0.046511627906976744,0.11627906976744186,43
2018-02-01,0.034482758620689655,0.0,0.0,0.0,0.1724137931034483,0.034482758620689655,0.034482758620689655,0.0,0.06896551724137931,0.0,29
2018-03-01,0.023809523809523808,0.0,0.09523809523809523,0.023809523809523808,0.16666666666666666,0.07142857142857142,0.047619047619047616,0.0,0.047619047619047616,0.0,42
2018-04-01,0.11764705882352941,0.0,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.0,0.17647058823529413,0.0,0.0,0.0,17
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4
2018-10-01,0.08571428571428572,0.0,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.0,0.02857142857142857,0.0,35
2018-11-01,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.0,0.0,0.08695652173913043,0.0,23
2018-12-01,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,18
2019-02-01,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.22727272727272727,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,22
2019-09-01,0.09523809523809523,0.047619047619047616,0.2857142857142857,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,21
2020-01-01,0.2222222222222222,0.0,0.0,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.1111111111111111,0.0,0.0,0.0,27
2020-04-01,0.125,0.22916666666666666,0.041666666666666664,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,48
2020-05-01,0.35714285714285715,0.0,0.08571428571428572,0.11428571428571428,0.05714285714285714,0.1,0.05714285714285714,0.0,0.0,0.014285714285714285,70
2020-07-01,0.35714285714285715,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,14
2020-08-01,0.4666666666666667,0.044444444444444446,0.0,0.06666666666666667,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,45
2020-10-01,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,7
2020-12-01,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,15
2021-01-01,0.14285714285714285,0.21428571428571427,0.0,0.0,0.07142857142857142,0.0,0.2857142857142857,0.07142857142857142,0.0,0.0,14
2021-02-01,0.1509433962264151,0.11320754716981132,0.0,0.0,0.0,0.0,0.0,0.07547169811320754,0.0,0.0,53
2021-03-01,0.1346153846153846,0.23076923076923078,0.0,0.019230769230769232,0.019230769230769232,0.038461538461538464,0.1346153846153846,0.1346153846153846,0.0,0.0,52
2021-04-01,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.38461538461538464,0.0,13
2021-05-01,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,36
2021-06-01,0.3076923076923077,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,13
2021-07-01,0.14285714285714285,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,21
2021-08-01,0.2777777777777778,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
2021-09-01,0.23529411764705882,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,17
2021-10-01,0.1111111111111111,0.0,0.0,0.037037037037037035,0.1111111111111111,0.07407407407407407,0.0,0.0,0.037037037037037035,0.0,27
2021-11-01,0.25,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,16
2021-12-01,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0967741935483871,0.06451612903225806,0.03225806451612903,31
2022-01-01,0.11363636363636363,0.0,0.0,0.045454545454545456,0.1590909090909091,0.0,0.0,0.0,0.0,0.022727272727272728,44
2022-02-01,0.07142857142857142,0.0,0.03571428571428571,0.10714285714285714,0.10714285714285714,0.07142857142857142,0.0,0.03571428571428571,0.0,0.0,28
2022-03-01,0.1875,0.0,0.0,0.0,0.1875,0.09375,0.0,0.0,0.0625,0.0,32
2022-04-01,0.043478260869565216,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,23
2022-05-01,0.08695652173913043,0.0,0.043478260869565216,0.0,0.17391304347826086,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,23
2022-06-01,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,15
